# Week 4 — the words that separate a confident speaker from a fluent one, and
# the spellings that survive to the final exam: -ance/-ence, -ery/-ary/-ory,
# the doubled consonants nobody hears, and the borrowings that keep foreign spelling.
independence|ˌɪndɪˈpendəns|in-de-pen-dence|ইনডিপেনডেন্স|স্বাধীনতা|noun|soft_c|931|independance,independense
importance|ɪmˈpɔːtns|im-por-tance|ইমপর্ট্যান্স|গুরুত্ব|noun|soft_c|932|importence,importanse
existence|ɪɡˈzɪstəns|ex-is-tence|এক্সিসটেন্স|অস্তিত্ব|noun|soft_c|933|existance,existanse
experience|ɪkˈspɪəriəns|ex-pe-rience|এক্সপেরিয়েন্স|অভিজ্ঞতা|noun|soft_c|934|experiance,expirience
preference|ˈprefrəns|pre-fe-rence|প্রেফারেন্স|পছন্দ|noun|soft_c|935|preferance,prefrence
reference|ˈrefrəns|re-fe-rence|রেফারেন্স|উল্লেখ|noun|soft_c|936|referance,refrence
influence|ˈɪnfluəns|in-flu-ence|ইনফ্লুয়েন্স|প্রভাব|noun|soft_c|937|influance,influense
consequence|ˈkɒnsɪkwəns|con-se-quence|কনসিকোয়েন্স|পরিণতি|noun|q_takes_u|938|consequance,consiquence
performance|pəˈfɔːməns|per-for-mance|পারফরম্যান্স|কর্মদক্ষতা|noun|soft_c|939|performence,preformance
appearance|əˈpɪərəns|ap-pea-rance|অ্যাপিয়ারেন্স|চেহারা|noun|soft_c|940|appearence,apearance
attendance|əˈtendəns|at-ten-dance|অ্যাটেনডেন্স|উপস্থিতি|noun|soft_c|941|attendence,atendance
assistance|əˈsɪstəns|as-sis-tance|অ্যাসিসট্যান্স|সহায়তা|noun|soft_c|942|assistence,asistance
resistance|rɪˈzɪstəns|re-sis-tance|রেজিসট্যান্স|প্রতিরোধ|noun|soft_c|943|resistence,rezistance
maintenance|ˈmeɪntənəns|main-te-nance|মেইনটেন্যান্স|রক্ষণাবেক্ষণ|noun|soft_c|944|maintainance,maintenence
insurance|ɪnˈʃʊərəns|in-su-rance|ইনসিওরেন্স|বিমা|noun|soft_c|945|insurence,insurrance
allowance|əˈlaʊəns|al-lo-wance|অ্যালাউয়েন্স|ভাতা|noun|soft_c|946|allowence,alowance
guidance|ˈɡaɪdns|gui-dance|গাইডেন্স|নির্দেশনা|noun|silent_letters|947|guidence,gidance
balance|ˈbæləns|ba-lance|ব্যালেন্স|ভারসাম্য|noun|soft_c|948|balence,ballance
excellence|ˈeksələns|ex-cel-lence|এক্সেলেন্স|উৎকর্ষ|noun|soft_c|949|excellance,excelence
silence|ˈsaɪləns|si-lence|সাইলেন্স|নীরবতা|noun|soft_c|950|silance,silense
violence|ˈvaɪələns|vio-lence|ভায়োলেন্স|সহিংসতা|noun|soft_c|951|violance,violense
obedience|əˈbiːdiəns|o-be-dience|ওবিডিয়েন্স|আনুগত্য|noun|soft_c|952|obediance,obedeince
intelligence|ɪnˈtelɪdʒəns|in-tel-li-gence|ইনটেলিজেন্স|বুদ্ধিমত্তা|noun|soft_g|953|inteligence,intelligance
convenience|kənˈviːniəns|con-ve-nience|কনভিনিয়েন্স|সুবিধা|noun|no_final_v|954|conveniance,convienience
machinery|məˈʃiːnəri|ma-chi-ne-ry|মেশিনারি|যন্ত্রপাতি|noun|y_to_i|955|machinary,machinry|review
jewellery|ˈdʒuːəlri|je-wel-le-ry|জুয়েলারি|গয়না|noun|soft_g|956|jewelry,jewellary
discovery|dɪˈskʌvəri|dis-co-ve-ry|ডিসকভারি|আবিষ্কার|noun|no_final_v|957|discovary,discovry
recovery|rɪˈkʌvəri|re-co-ve-ry|রিকভারি|আরোগ্য|noun|no_final_v|958|recovary,recovry
mystery|ˈmɪstri|mys-te-ry|মিস্ট্রি|রহস্য|noun|y_to_i|959|mistery,mystary
bakery|ˈbeɪkəri|ba-ke-ry|বেকারি|বেকারি|noun|drop_silent_e|960|bakary,bakry
scenery|ˈsiːnəri|sce-ne-ry|সিনারি|দৃশ্য|noun|soft_c|961|scenary,senery
stationery|ˈsteɪʃənri|sta-tio-ne-ry|স্টেশনারি|লেখার সরঞ্জাম|noun|tion_sion|962|stationary,stationry|review
stationary|ˈsteɪʃənri|sta-tio-na-ry|স্টেশনারি|স্থির|adjective|tion_sion|963|stationery,stationry|review
